(1689,3422) 
(1835,3577) 
(2046,3573) 
(2227,3577) 
(2390,3577) 
(2554,3573) 
(2738,3573) 
(2919,3573) 
(3138,3573) 
(3418,3577) 
(3590,3573) 
(3745,3573) 
(4067,3573) 
(4299,3577) 
(4583,3577) 
(4703,3573) 
(4884,3573) 
(5163,3568) 
(5366,3573) 
(5563,3573) 
(5821,3568) 
(6101,3594) 
(6256,3594)
(4015,2936)
(4445,2936) 
(4647,2932) 
(4884,2936) 
(5163,3035) 
(5163,3207) 
(5168,3366) 
(5133,3762) 
(4884,3779)
(4431,3777)
(4239,3783) 
(4071,3783) 
(3757,3745)
(3740,3413) 
(3745,3263)
(3745,3026) 
(2541,2020)
(2760,2020)
(2958,2029) 
(3125,2162) 
(3134,2291) 
(3121,2416)
(3125,2584) 
(3125,2760) 
(3121,2915) 
(3134,3035) 
(3452,3035)
(3977,3031) 
(4067,3263)
(4067,3370)
(4067,3461) 
(4071,3912) 
(4067,4046) 
(4067,4136) 
(4071,4347) 
(4067,4501) 
(4067,4604)
(4888,4497) 
(4888,4342) 
(4880,4136) 
(4884,4046) 
(4884,3912) 
(4880,3461) 
(4888,3366) 
(4884,3216)
(4888,3095)
(4884,2833)
(4884,2738) 
(4884,2584)
(4880,2468) 
(4884,2330)
(4884,2171)
(4880,2055)
(4884,1930)
(4884,1788)
(4880,1633)
(4884,1504)
(2549,3263)
(2734,3254)
(2923,3259)
(3130,3259)
(3431,3254)
(4278,3263)
(4531,3259)
(5353,3366)
(5568,3362) 
(5817,3366)
(6036,3370)
(6230,3362)
(6481,3366)
(6638,3366) 
(6819,3358)
(6987,3370)
(7206,3362)
(7438,3426)
(7541,3525)
(7662,3646)
(7778,3659)
(7911,3659)
(8053,3659)
(8195,3654)
(3134,3727)
(3319,3912) 
(3547,3904)
(3800,3917)
(4269,3908)
(4445,3912)
(4673,3904)
(5077,3908)
(5267,3912) 
(5563,3908)
(5813,3912)
(5993,3908)
(6131,3912)
(6170,3985)
(6170,4084)
(6182,4175)
(6234,4226)
(6337,4226)
(6492,4218)
(3796,1698)
(3968,1698)
(4196,1698)
(4295,1775)
(4299,1926)
(4295,2016)
(4299,2081)
(4299,2167)
(4377,2214)
(4445,2261)
(4441,2330)
(4441,2455)
(4445,2584)
(4441,2713)
(4450,2799)
(4441,3104) 
(2799,4751)
(2794,4626)
(2803,4501)
(2794,4398) 
(2803,4295)
(2794,4136)
(2919,3869)
(3014,3809)
(3138,3422)
(2764,2622)
(2893,2579)
(3293,2588) 
(3641,2579)
(3861,2579) 
(4041,2579)
(4222,2579)
(4647,2588) 
(5242,2583) 
(5525,2609) 
(5572,2760) 
(5568,2915) 
(5568,3057) 
(5563,3186) 
(5563,3456) 
(5563,3985) 
(5568,4071) 
(5568,4132) 
(5520,4433) 
(5271,4501) 
(4682,4497) 
(4454,4506) 
(4282,4493)
(3745,4501) 
(3538,4497) 
(3293,4501) 
(3095,4501) 
(2919,4325) 
(2919,4136) 
(2923,3727)
(2829,3409) 
(2738,3078) 
(2743,2910) 
(2738,2747)
(3646,2799) 
(3650,2420) 
(3637,2265) 
(3641,2042) 
(3822,1926) 
(4015,1926) 
(5245,2063) 
(5241,2334)
(5245,2760) 
(5241,2885)
(1917,4136) 
(2063,4136)
(2231,4132) 
(2382,4132) 
(2601,4136) 
(5619,2038) 
(5615,2141) 
(5611,2248) 
(5615,2334) 
(5667,2468) 
(5757,2566) 
(5821,2760) 
(5817,2867) 
(5817,2975) 
(5817,3091) 
(5817,3211) 
(7412,1483) 
(7055,1483) 
(6750,1483) 
(6423,1474) 
(6157,1547) 
(6157,1681) 
(6157,1810) 
(6157,1943) 
(6161,2081) 
(6161,2205) 
(5955,2334)
(5060,2334) 
(4656,2321)
(4187,2334) 
(3981,2339) 
(3770,2339)
(6415,3616) 
(6578,3616) 
(6750,3616) 
(6918,3611) 
(7120,3616) 
(7219,3659) 
(7292,3745) 
(7361,3809) 
(7438,3882) 
(7515,3972) 
(7606,4041)
(3796,1238) 
(3796,1354) 
(3792,1457) 
(3796,1569)
(3646,1810) 
(4884,4669) 
(4961,4738) 
(5022,4798) 
(5099,4875) 
(5163,4936) 
(5232,5004) 
(5310,5082) 
(5383,5159) 
(5486,5185) 
(5658,5181) 
(5830,5189) 
(5993,5185) 
(6161,5181)
(1496,5400)
(1771,5387) 
(1982,5391) 
(2167,5400) 
(2261,5284) 
(2351,5202) 
(2437,5125) 
(2523,5039) 
(2609,4944) 
(2700,4854) 
(6913,2020) 
(6600,2020)
(4067,4699) 
(3835,4815) 
(3843,4910)  
(3835,5004)
(3839,5099)
(3843,5189) 
(3835,5284) 
(3843,5370) 
(3839,5469) 
(3843,5555) 
(3839,5645)
